name,source,gender,wikidata,type
"1ª Rua Particular Castelo do Queijo",,,,way
"2ª Rua Particular do Castelo do Queijo",,,,way
"3ª Rua Particular Castelo do Queijo",,,,way
"Acesso Norte ao Túnel das Antas I",,,,way
"Acesso Sul ao Túnel das Antas I",,,,way
"Acesso à ESE e SaS do Politécnico do Porto",,,,way
"Acesso aos SAS do Politécnico do Porto",,,,way
"Acesso pedonal ao pavilhão desportivo do IPP",,,,way
"Adro da Igreja de Campanhã",,,,way
"Alameda 25 de Abril",,,,way
"Alameda Doutor António Macedo",,,,way
"Alameda Doutor Fernando Azeredo Antas",,,,way
"Alameda Professor Hernâni Monteiro",,,,way
"Alameda Professor Ruy Luís Gomes",,,,way
"Alameda da Cruz Vermelha Portuguesa",,,,way
"Alameda das Antas",,,,way
"Alameda de Aquilino Ribeiro",,,,way
"Alameda de Basilo Teles",,,,way
"Alameda de Cartes",,,,way
"Alameda de Cláudio Carneiro",,,,way
"Alameda de Manuel de Arriaga",,,,way
"Alameda do Arquitecto Carlos Ramos",,,,way
"Alameda dos Capitães de Abril",,,,way
"Alameda dos Plátanos",,,,way
"Anel Equestre",,,,way
"Antigo Bairro da Escarpa das Fontaínhas",,,,way
"Atalho Rua Alfredo Keil - Rua Henrrique Lopes de Mendonça",,,,way
"Autoestrada de Entre-Douro-e-Minho",,,,way
"Autoestrada do Litoral Norte",,,,way
"Avenida Artur de Andrade",,,,way
"Avenida Conselho da Europa",,,,way
"Avenida Dom Afonso Henriques",,,,way
"Avenida Dom Carlos I",,,,way
"Avenida Dom Pedro IV",,,,way
"Avenida Escritor Costa Barreto",,,,way
"Avenida Flor da Rosa",,,,way
"Avenida Francisco Xavier Esteves",,,,way
"Avenida Henrique Lopes de Mendonça",,,,way
"Avenida Nun'Álvares",,,,way
"Avenida Principal do Cemitério do Prado do Repouso",,,,way
"Avenida da Associação Empresarial de Portugal",,,,way
"Avenida da Boavista",,,,way
"Avenida da Cidade de León",,,,way
"Avenida da Cidade de Xangai",,,,way
"Avenida da França",,,,way
"Avenida das Congostas",,,,way
"Avenida das Tílias",,,,way
"Avenida de Dom João II",,,,way
"Avenida de Paiva Couceiro",,,,way
"Avenida de Sidónio Pais",,,,way
"Avenida de Vímara Peres",,,,way
"Avenida do Bessa",,,,way
"Avenida do Doutor Antunes Guimarães",,,,way
"Avenida do Parque",,,,way
"Avenida dos Castanheiros da Índia",,,,way
"Avenida dos Combatentes da Grande Guerra",,,,way
"Bairro Dom António Barroso",,,,way
"Bairro Marechal Gomes da Costa",,,,relation
"Bairro da Fonte da Moura",,,,relation
"Bairro da Padaria",,,,way
"Bairro da Pasteleira",,,,relation
"Bairro das Campinas",,,,relation
"Bairro do Outeiro",,,,relation
"Bairro do Viso",,,,relation
"Beco Central",,,,way
"Beco da Beneditina",,,,way
"Beco da Senhora da Luz",,,,way
"Beco das Carreiras",,,,way
"Beco de Bonjóia",,,,way
"Beco de Redemoínhos",,,,way
"Beco de São Macário",,,,way
"Beco de São Marçal",,,,way
"Beco do Arrabalde",,,,way
"Beco do Campo",,,,way
"Beco do Machado",,,,way
"Beco do Meiral",,,,way
"Beco do Outeiro",,,,way
"Beco do Pedregulho",,,,way
"Beco do Preto",,,,way
"Cais Novo",,,,way
"Cais da Estiva",,,,relation+way
"Cais da Ribeira",,,,relation+way
"Cais das Pedras",,,,way
"Cais do Bicalho",,,,way
"Cais dos Guindais",,,,relation+way
"Calçada Forno Velho",,,,way
"Calçada João do Carmo",,,,way
"Calçada Marques Marinho",,,,way
"Calçada da Arrábida",,,,way
"Calçada da Boa Viagem",,,,way
"Calçada da Corticeira",,,,way
"Calçada da Maceda",,,,way
"Calçada da Póvoa",,,,way
"Calçada da Ranha",,,,way
"Calçada da Serrúbia",,,,way
"Calçada das Carquejeiras",,,,way
"Calçada das Laranjeiras",,,,way
"Calçada das Virtudes",,,,way
"Calçada de Chaves de Oliveira",,,,way
"Calçada de Dom Pedro Pitões",,,,way
"Calçada de Godim",,,,way
"Calçada de Monchique",,,,way
"Calçada de Nova Sintra",,,,way
"Calçada de São Pedro",,,,way
"Calçada de Sobre-o-Douro",,,,way
"Calçada de Vandoma",,,,way
"Calçada do Calvário",,,,way
"Calçada do Carregal",,,,way
"Calçada do Leal",,,,way
"Calçada do Monte da Lapa",,,,way
"Calçada do Monte de São João",,,,way
"Calçada do Ouro",,,,way
"Calçada do Rego Lameiro",,,,way
"Calçada do Rêgo Lameiro",,,,way
"Calçada dos Ingleses",,,,way
"Caminho da Aldeia",,,,way
"Caminho da Asprela",,,,way
"Caminho da Bela",,,,way
"Caminho da Fonte de Cima",,,,way
"Caminho das Congostas",,,,way
"Campo do Rou",,,,way
"Campo dos Mártires da Pátria",,,,way
"Cantina e Armazéns da antiga Legião Portuguesa",,,,way
"Ciclovia da Boavista",,,,way
"Ciclovia da Foz",,,,way
"Ciclovia da Foz da Ribeira da Granja",,,,way
"Ciclovia do Viso",,,,way
"Colónia de Antero de Quental",,,,way
"Dr Antunes Guimarães",,,,way
"Escada Recanto",,,,way
"Escada da Aguada",,,,way
"Escadaria Cidral de Baixo",,,,way
"Escadaria do Adro",,,,way
"Escadas Carolina Michaelis de Vasconcelos",,,,way
"Escadas Carolina Michäelis de Vasconcelos",,,,relation+way
"Escadas Rolantes de Miragaia",,,,way
"Escadas da Sé",,,,way
"Escadas da Vitória",,,,way
"Escadas das Sereias",,,,way
"Escadas das Verdades",,,,way
"Escadas de São Francisco de Borja",,,,way
"Escadas de Tânger",,,,way
"Escadas do Armazém",,,,way
"Escadas do Barredo",,,,way
"Escadas do Caminho Novo",,,,way
"Escadas do Cidral de Cima",,,,way
"Escadas do Codeçal",,,,way
"Escadas do Colégio",,,,way
"Escadas do Garcia de Orta",,,,way
"Escadas do Monte Cativo",,,,way
"Escadas do Monte dos Judeus",,,,way
"Escadas do Pinheiro",,,,way
"Escadas do Porão",,,,way
"Escadas do Roleto",,,,way
"Escadas dos Guindais",,,,way
"Esplanada do Castelo",,,,way
"Esplanada do Molhe",,,,way
"Estrada Exterior da Circunvalação",,,,way
"Estrada Interior da Circunvalação",,,,way
"Estrada Nacional 108",,,,way
"Estrada da Circunvalação",,,,way
"Estrada da Granja",,,,way
"Galeria Comercial Foco",,,,way
"Galeria Norte",,,,way
"Galeria Sul",,,,way
"Igreja e Recolhimento de Nossa Senhora do Patrocínio;Igreja e Recolhimento do Ferro",,,,relation
Ilha,,,,way
"Ilha 1",,,,way
"Ilha 2",,,,way
"Jardim Antero de Figueiredo",,,,way
"Jardins da Avenida de Montevideu",,,,way
"Largo Diocleciano Monteiro",,,,way
"Largo Doutor Pedro Vitorino",,,,way
"Largo Luís Braille",,,,way
"Largo Luís de Camões",,,,way
"Largo Padre Américo",,,,relation
"Largo Padre Inácio Gomes",,,,way
"Largo Padre José de Oliveira",,,,way
"Largo Palmira Malheiro",,,,way
"Largo Primeiro de Dezembro",,,,way
"Largo São Dionísio",,,,way
"Largo da Alfândega",,,,way
"Largo da Beneditina",,,,way
"Largo da Cruz",,,,way
"Largo da Esperança",,,,way
"Largo da Estação",,,,way
"Largo da Fontinha",,,,way
